"plan","query","region","subject","estimate","planted","readout"
"cross","lm_match","regionB","sub-10",-0.00706273532384616,-0.00419303351478929,"match coefficient adjusting for same_category"
"cross","lm_match","regionB","sub-11",-0.0388093642848411,-0.00419303351478929,"match coefficient adjusting for same_category"
"cross","lm_match","regionB","sub-12",-0.0068665559003122,-0.00419303351478929,"match coefficient adjusting for same_category"
"cross","lm_match","regionC","sub-01",8.85735600974037e-05,0.00853811894289986,"match coefficient adjusting for same_category"
"cross","lm_match","regionC","sub-02",0.0135737308658706,0.00853811894289986,"match coefficient adjusting for same_category"
"cross","lm_match","regionC","sub-03",0.0171623492910684,0.00853811894289986,"match coefficient adjusting for same_category"
"cross","lm_match","regionC","sub-04",0.026297395712963,0.00853811894289986,"match coefficient adjusting for same_category"
"cross","lm_match","regionC","sub-05",0.015857239192602,0.00853811894289986,"match coefficient adjusting for same_category"
"cross","lm_match","regionC","sub-06",0.0264130904411127,0.00853811894289986,"match coefficient adjusting for same_category"
"cross","lm_match","regionC","sub-07",-0.0251774978812628,0.00853811894289986,"match coefficient adjusting for same_category"
"cross","lm_match","regionC","sub-08",-0.00529814188058143,0.00853811894289986,"match coefficient adjusting for same_category"
"cross","lm_match","regionC","sub-09",-0.0139116140173838,0.00853811894289986,"match coefficient adjusting for same_category"
"cross","lm_match","regionC","sub-10",0.0187791295939287,0.00853811894289986,"match coefficient adjusting for same_category"
"cross","lm_match","regionC","sub-11",0.00332112523075356,0.00853811894289986,"match coefficient adjusting for same_category"
"cross","lm_match","regionC","sub-12",0.0227688194787911,0.00853811894289986,"match coefficient adjusting for same_category"
"cross","lm_match_depth","regionA","sub-01",0.214290164086689,0.215401239653728,"study-duration slope on matched pairs"
"cross","lm_match_depth","regionA","sub-02",0.21257054853029,0.215401239653728,"study-duration slope on matched pairs"
"cross","lm_match_depth","regionA","sub-03",0.248516232706594,0.215401239653728,"study-duration slope on matched pairs"
"cross","lm_match_depth","regionA","sub-04",0.224817769534004,0.215401239653728,"study-duration slope on matched pairs"
"cross","lm_match_depth","regionA","sub-05",0.216915897700889,0.215401239653728,"study-duration slope on matched pairs"
"cross","lm_match_depth","regionA","sub-06",0.180661507665781,0.215401239653728,"study-duration slope on matched pairs"
"cross","lm_match_depth","regionA","sub-07",0.219111644293675,0.215401239653728,"study-duration slope on matched pairs"
"cross","lm_match_depth","regionA","sub-08",0.206548906206377,0.215401239653728,"study-duration slope on matched pairs"
"cross","lm_match_depth","regionA","sub-09",0.259370152686243,0.215401239653728,"study-duration slope on matched pairs"
"cross","lm_match_depth","regionA","sub-10",0.230064761160279,0.215401239653728,"study-duration slope on matched pairs"
"cross","lm_match_depth","regionA","sub-11",0.229699535097331,0.215401239653728,"study-duration slope on matched pairs"
"cross","lm_match_depth","regionA","sub-12",0.204952476980514,0.215401239653728,"study-duration slope on matched pairs"
"cross","lm_match_depth","regionB","sub-01",0.081181498059643,0.0601885714565924,"study-duration slope on matched pairs"
"cross","lm_match_depth","regionB","sub-02",0.0363701305336972,0.0601885714565924,"study-duration slope on matched pairs"
"cross","lm_match_depth","regionB","sub-03",0.0748706577095091,0.0601885714565924,"study-duration slope on matched pairs"
"cross","lm_match_depth","regionB","sub-04",0.0695999941168296,0.0601885714565924,"study-duration slope on matched pairs"
"cross","lm_match_depth","regionB","sub-05",0.0428796453975545,0.0601885714565924,"study-duration slope on matched pairs"
"cross","lm_match_depth","regionB","sub-06",-0.0309053242024974,0.0601885714565924,"study-duration slope on matched pairs"
"cross","lm_match_depth","regionB","sub-07",0.143574839521712,0.0601885714565924,"study-duration slope on matched pairs"
"cross","lm_match_depth","regionB","sub-08",-0.0136280218424851,0.0601885714565924,"study-duration slope on matched pairs"
"cross","lm_match_depth","regionB","sub-09",0.069817563144074,0.0601885714565924,"study-duration slope on matched pairs"
"cross","lm_match_depth","regionB","sub-10",0.0502271800993719,0.0601885714565924,"study-duration slope on matched pairs"
"cross","lm_match_depth","regionB","sub-11",0.0538950732352199,0.0601885714565924,"study-duration slope on matched pairs"
"cross","lm_match_depth","regionB","sub-12",0.0753353155577956,0.0601885714565924,"study-duration slope on matched pairs"
