relpath,role,tier,source,bytes,md5,sha256,url,s3_uri
derivatives/fmriprep/sub-107/func/sub-107_task-trust_run-2_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,mask-mni,core,fmriprep,3875,6ff6a73983f0b553daa4893701741edf,,https://openneuro.org/crn/datasets/ds003745/snapshots/2.1.1/files/derivatives:fmriprep:sub-107:func:sub-107_task-trust_run-2_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,s3://openneuro.org/ds003745/derivatives/fmriprep/sub-107/func/sub-107_task-trust_run-2_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz
derivatives/fmriprep/sub-107/func/sub-107_task-trust_run-2_desc-confounds_timeseries.tsv,confounds,core,fmriprep,693898,e50d5ac229e2823cb794f39256637f0a,,https://openneuro.org/crn/datasets/ds003745/snapshots/2.1.1/files/derivatives:fmriprep:sub-107:func:sub-107_task-trust_run-2_desc-confounds_timeseries.tsv,s3://openneuro.org/ds003745/derivatives/fmriprep/sub-107/func/sub-107_task-trust_run-2_desc-confounds_timeseries.tsv
sub-107/func/sub-107_task-trust_run-02_events.tsv,events,core,raw,3971,676222d0b10ce905a2aacc6a28e65cc4,,https://openneuro.org/crn/datasets/ds003745/snapshots/2.1.1/files/sub-107:func:sub-107_task-trust_run-02_events.tsv,s3://openneuro.org/ds003745/sub-107/func/sub-107_task-trust_run-02_events.tsv
derivatives/fmriprep/sub-107/func/sub-107_task-trust_run-3_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,bold-mni,core,fmriprep,83046261,b57ec45010b9babb5b1afd3c752932f5,,https://openneuro.org/crn/datasets/ds003745/snapshots/2.1.1/files/derivatives:fmriprep:sub-107:func:sub-107_task-trust_run-3_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,s3://openneuro.org/ds003745/derivatives/fmriprep/sub-107/func/sub-107_task-trust_run-3_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz
derivatives/fmriprep/sub-107/func/sub-107_task-trust_run-3_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,mask-mni,core,fmriprep,3850,b2d300339a3f336b86afa12046f2c1d0,,https://openneuro.org/crn/datasets/ds003745/snapshots/2.1.1/files/derivatives:fmriprep:sub-107:func:sub-107_task-trust_run-3_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,s3://openneuro.org/ds003745/derivatives/fmriprep/sub-107/func/sub-107_task-trust_run-3_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz
derivatives/fmriprep/sub-107/func/sub-107_task-trust_run-3_desc-confounds_timeseries.tsv,confounds,core,fmriprep,732725,e36faa75f036017c1bfe8f86a5e71409,,https://openneuro.org/crn/datasets/ds003745/snapshots/2.1.1/files/derivatives:fmriprep:sub-107:func:sub-107_task-trust_run-3_desc-confounds_timeseries.tsv,s3://openneuro.org/ds003745/derivatives/fmriprep/sub-107/func/sub-107_task-trust_run-3_desc-confounds_timeseries.tsv
sub-107/func/sub-107_task-trust_run-03_events.tsv,events,core,raw,4036,d745c091748d24a8deec608c61bba54c,,https://openneuro.org/crn/datasets/ds003745/snapshots/2.1.1/files/sub-107:func:sub-107_task-trust_run-03_events.tsv,s3://openneuro.org/ds003745/sub-107/func/sub-107_task-trust_run-03_events.tsv
derivatives/fmriprep/sub-107/func/sub-107_task-trust_run-4_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,bold-mni,core,fmriprep,83080322,0fd803e81fda92ffd2fa925d1fcef46c,,https://openneuro.org/crn/datasets/ds003745/snapshots/2.1.1/files/derivatives:fmriprep:sub-107:func:sub-107_task-trust_run-4_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,s3://openneuro.org/ds003745/derivatives/fmriprep/sub-107/func/sub-107_task-trust_run-4_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz
derivatives/fmriprep/sub-107/func/sub-107_task-trust_run-4_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,mask-mni,core,fmriprep,3821,c973e8fa35e88a30e04d9c81731fcecb,,https://openneuro.org/crn/datasets/ds003745/snapshots/2.1.1/files/derivatives:fmriprep:sub-107:func:sub-107_task-trust_run-4_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,s3://openneuro.org/ds003745/derivatives/fmriprep/sub-107/func/sub-107_task-trust_run-4_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz
derivatives/fmriprep/sub-107/func/sub-107_task-trust_run-4_desc-confounds_timeseries.tsv,confounds,core,fmriprep,672437,9db39e527ce36222f28dcf38016fbf59,,https://openneuro.org/crn/datasets/ds003745/snapshots/2.1.1/files/derivatives:fmriprep:sub-107:func:sub-107_task-trust_run-4_desc-confounds_timeseries.tsv,s3://openneuro.org/ds003745/derivatives/fmriprep/sub-107/func/sub-107_task-trust_run-4_desc-confounds_timeseries.tsv
sub-107/func/sub-107_task-trust_run-04_events.tsv,events,core,raw,3716,c8c2397c6c88e306063cad92f3b9fbca,,https://openneuro.org/crn/datasets/ds003745/snapshots/2.1.1/files/sub-107:func:sub-107_task-trust_run-04_events.tsv,s3://openneuro.org/ds003745/sub-107/func/sub-107_task-trust_run-04_events.tsv
derivatives/fmriprep/sub-107/func/sub-107_task-trust_run-5_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,bold-mni,core,fmriprep,83032830,5bae1936265a32ffdd8b2a7fb255d9cb,,https://openneuro.org/crn/datasets/ds003745/snapshots/2.1.1/files/derivatives:fmriprep:sub-107:func:sub-107_task-trust_run-5_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,s3://openneuro.org/ds003745/derivatives/fmriprep/sub-107/func/sub-107_task-trust_run-5_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz
derivatives/fmriprep/sub-107/func/sub-107_task-trust_run-5_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,mask-mni,core,fmriprep,3891,e5b30482bb930d8d77889605ce78f8d8,,https://openneuro.org/crn/datasets/ds003745/snapshots/2.1.1/files/derivatives:fmriprep:sub-107:func:sub-107_task-trust_run-5_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,s3://openneuro.org/ds003745/derivatives/fmriprep/sub-107/func/sub-107_task-trust_run-5_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz
derivatives/fmriprep/sub-107/func/sub-107_task-trust_run-5_desc-confounds_timeseries.tsv,confounds,core,fmriprep,682866,fa2d493575a42f823448579db248c1c7,,https://openneuro.org/crn/datasets/ds003745/snapshots/2.1.1/files/derivatives:fmriprep:sub-107:func:sub-107_task-trust_run-5_desc-confounds_timeseries.tsv,s3://openneuro.org/ds003745/derivatives/fmriprep/sub-107/func/sub-107_task-trust_run-5_desc-confounds_timeseries.tsv
sub-107/func/sub-107_task-trust_run-05_events.tsv,events,core,raw,3847,cccc298b7579a56dd2d3d50c41ee4c18,,https://openneuro.org/crn/datasets/ds003745/snapshots/2.1.1/files/sub-107:func:sub-107_task-trust_run-05_events.tsv,s3://openneuro.org/ds003745/sub-107/func/sub-107_task-trust_run-05_events.tsv
derivatives/fmriprep/sub-107/func/sub-107_task-sharedreward_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,bold-mni,transport,fmriprep,76893735,486fc191ad6f03e95e97f451e7bc51fa,,https://openneuro.org/crn/datasets/ds003745/snapshots/2.1.1/files/derivatives:fmriprep:sub-107:func:sub-107_task-sharedreward_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,s3://openneuro.org/ds003745/derivatives/fmriprep/sub-107/func/sub-107_task-sharedreward_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz
derivatives/fmriprep/sub-107/func/sub-107_task-sharedreward_run-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,mask-mni,transport,fmriprep,3804,a9cf1374547646cbc1ed462a279c64c8,,https://openneuro.org/crn/datasets/ds003745/snapshots/2.1.1/files/derivatives:fmriprep:sub-107:func:sub-107_task-sharedreward_run-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,s3://openneuro.org/ds003745/derivatives/fmriprep/sub-107/func/sub-107_task-sharedreward_run-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz
