"scenario","scenario_label","metric","scale","truth","estimate_mean","estimate_sd","interval_lower","interval_upper","n_valid","n_replications","noise_regime","trials_per_condition","snr","first_seed","last_seed"
"broad_coherent","Broad coherent","total",0.01,2.72,2.68769388523316,0.241753028600603,2.3251432932425,3.1365189154343,24,24,"gaussian",24,0.8,4301,4324
"broad_coherent","Broad coherent","total",1.01,2.72,2.68769388523316,0.241753028600603,2.3251432932425,3.1365189154343,24,24,"gaussian",24,0.8,4301,4324
"broad_coherent","Broad coherent","total",2.01,2.72,2.68769388523316,0.241753028600603,2.3251432932425,3.1365189154343,24,24,"gaussian",24,0.8,4301,4324
"broad_coherent","Broad coherent","total",4.01,2.72,2.68769388523316,0.241753028600603,2.3251432932425,3.1365189154343,24,24,"gaussian",24,0.8,4301,4324
"mixed_broad_fine","50/50 mixed","total",0.01,2.72,2.6425063930385,0.250417090063221,2.2026418957309,3.07303499177294,24,24,"gaussian",24,0.8,4301,4324
"mixed_broad_fine","50/50 mixed","total",1.01,2.72,2.6425063930385,0.250417090063221,2.2026418957309,3.07303499177294,24,24,"gaussian",24,0.8,4301,4324
"mixed_broad_fine","50/50 mixed","total",2.01,2.72,2.6425063930385,0.250417090063221,2.2026418957309,3.07303499177294,24,24,"gaussian",24,0.8,4301,4324
"mixed_broad_fine","50/50 mixed","total",4.01,2.72,2.6425063930385,0.250417090063221,2.2026418957309,3.07303499177294,24,24,"gaussian",24,0.8,4301,4324
"fine_configuration","Fine configuration","total",0.01,2.72,2.64429810417988,0.25343521670844,2.19322441866318,3.04536211379667,24,24,"gaussian",24,0.8,4301,4324
"fine_configuration","Fine configuration","total",1.01,2.72,2.64429810417988,0.25343521670844,2.19322441866318,3.04536211379667,24,24,"gaussian",24,0.8,4301,4324
"fine_configuration","Fine configuration","total",2.01,2.72,2.64429810417988,0.25343521670844,2.19322441866318,3.04536211379667,24,24,"gaussian",24,0.8,4301,4324
"fine_configuration","Fine configuration","total",4.01,2.72,2.64429810417988,0.25343521670844,2.19322441866318,3.04536211379667,24,24,"gaussian",24,0.8,4301,4324
