"scenario","scale","coverage_regime","component","term","replications","estimate_mean","conditional_truth_mean","marginal_truth_mean","marginal_bias","target_shift","empirical_se","mean_se","conditional_coverage","coverage_mcse","mean_n","mean_coverage_fraction","mean_transport_quality","marginal_claim_supported"
"fine_configuration",0.01,"supported_complete","configuration","(Intercept)",200,0.0160425887346569,0.015558797978809,0.015558797978809,0.000483790755847947,0,0.016958766644943,0.0175443469637384,0.98,0.00989949493661167,24,1,0.755509530964764,TRUE
"fine_configuration",0.01,"supported_complete","configuration","covariate_x",200,0.00273781070062267,0.000689402420170094,0.000689402420170094,0.00204840828045258,0,0.0170575805545825,0.0186310869598329,0.945,0.0161206389451535,24,1,0.755509530964764,TRUE
"fine_configuration",0.01,"supported_complete","total","(Intercept)",200,2.18733275198803,2.18627091065922,2.18627091065922,0.00106184132880676,0,0.0782200701846106,0.149341718137797,1,0,24,1,0.755509530964764,TRUE
"fine_configuration",0.01,"supported_complete","total","covariate_x",200,0.0997308194555169,0.0979813523439316,0.0979813523439316,0.0017494671115853,0,0.13797221105169,0.142850934842212,1,0,24,1,0.755509530964764,TRUE
"fine_configuration",1.01,"failure_informative","coherent","(Intercept)",200,0.2667601599672,0.266146781888462,0.24293686715541,0.0238232928117896,0.0232099147330517,0.0323235423180281,0.0449584203221726,1,0,13.2,0.55,0.739170886363513,FALSE
"fine_configuration",1.01,"failure_informative","coherent","covariate_x",200,0.00499770541159283,0.00280619370124317,0.0115470013733311,-0.00654929596173829,-0.00874080767208796,0.0463229159255498,0.0505275033497731,0.985,0.00859505671883555,13.2,0.55,0.739170886363513,FALSE
"fine_configuration",1.01,"failure_informative","configuration","(Intercept)",200,2.07377630802627,2.07098248638993,1.94333404350381,0.130442264522455,0.127648442886119,0.156963638887365,0.261945952222843,1,0,13.2,0.55,0.739170886363513,FALSE
"fine_configuration",1.01,"failure_informative","configuration","covariate_x",200,0.030549233072018,0.0305176694018019,0.0864343509706005,-0.0558851178985825,-0.0559166815687986,0.267406479918664,0.282796345214958,1,0,13.2,0.55,0.739170886363513,FALSE
"fine_configuration",1.01,"failure_informative","total","(Intercept)",200,2.34053646799347,2.33712926827839,2.18627091065922,0.154265557334245,0.150858357619171,0.176086830605853,0.29590685402603,1,0,13.2,0.55,0.739170886363513,FALSE
"fine_configuration",1.01,"failure_informative","total","covariate_x",200,0.0355469384836108,0.0333238631030451,0.0979813523439316,-0.0624344138603208,-0.0646574892408865,0.301646359148008,0.319250096022581,1,0,13.2,0.55,0.739170886363513,FALSE
"fine_configuration",1.01,"supported_complete","coherent","(Intercept)",200,0.243558082435384,0.24293686715541,0.24293686715541,0.000621215279973394,0,0.020598738685185,0.0247851092007835,1,0,24,1,0.755509530964764,TRUE
"fine_configuration",1.01,"supported_complete","coherent","covariate_x",200,0.0138498968292416,0.0115470013733311,0.0115470013733311,0.00230289545591049,0,0.0253099046798482,0.0253465878979309,0.985,0.00859505671883555,24,1,0.755509530964764,TRUE
"fine_configuration",1.01,"supported_complete","configuration","(Intercept)",200,1.9433166611266,1.94333404350381,1.94333404350381,-1.73823772138952e-05,0,0.0711529085463018,0.131857230421181,1,0,24,1,0.755509530964764,TRUE
"fine_configuration",1.01,"supported_complete","configuration","covariate_x",200,0.087152070876819,0.0864343509706005,0.0864343509706005,0.000717719906218501,0,0.12518819499294,0.126177510479836,1,0,24,1,0.755509530964764,TRUE
"fine_configuration",1.01,"supported_complete","total","(Intercept)",200,2.18687474356198,2.18627091065922,2.18627091065922,0.000603832902759463,0,0.0811433644723659,0.1485789317565,1,0,24,1,0.755509530964764,TRUE
"fine_configuration",1.01,"supported_complete","total","covariate_x",200,0.101001967706061,0.0979813523439316,0.0979813523439316,0.00302061536212899,0,0.141727205220157,0.1417113700623,1,0,24,1,0.755509530964764,TRUE
"fine_configuration",2.01,"failure_informative","coherent","(Intercept)",200,0.11295206962213,0.115503453948902,0.100288052546262,0.0126640170758686,0.0152154014026406,0.0293094364228798,0.0314313952178634,0.98,0.00989949493661167,13.315,0.554791666666667,0.738533388067387,FALSE
