"scenario","noise_regime","trials_per_condition","snr","regime_label","scale","metric","truth","estimate_mean","estimate_sd","interval_lower","interval_upper","n_valid","n_replications"
"broad_coherent","gaussian",24,0,"null",4.01,"aggregate",0,-0.00781585061606523,0.165887967172429,-0.278836857882988,0.335300691449148,48,48
"broad_coherent","gaussian",24,0,"null",4.01,"total",0,-0.00195396265401631,0.0414719917931073,-0.069709214470747,0.083825172862287,48,48
"broad_coherent","gaussian",24,0,"null",4.01,"coherent",0,0.00162221980849537,0.0126224002491736,-0.0133966609915089,0.0235001970499266,48,48
"broad_coherent","gaussian",24,0,"null",4.01,"configuration",0,-0.00357618246251168,0.0366360135612252,-0.0607958851613802,0.0774015883449267,48,48
"broad_coherent","gaussian",24,0,"null",4.01,"coherent_share",NA,0.0220015702592475,2.98147042376281,-2.52006864117733,3.97983521283643,48,48
"broad_coherent","gaussian",24,0.2,"low_power",0.01,"activation",0.2,0.207795319692528,0.0342792693616385,0.152937669616026,0.266980436645573,48,48
"broad_coherent","gaussian",24,0.2,"low_power",0.01,"aggregate",0.68,0.725192323293127,0.308203645658666,0.255310621154996,1.29658176658893,48,48
"broad_coherent","gaussian",24,0.2,"low_power",0.01,"total",0.17,0.181298080823282,0.0770509114146665,0.0638276552887491,0.324145441647233,48,48
"broad_coherent","gaussian",24,0.2,"low_power",0.01,"coherent",0.17,0.181298080823282,0.0770509114146665,0.0638276552887491,0.324145441647233,48,48
"broad_coherent","gaussian",24,0.2,"low_power",0.01,"configuration",0,0,0,0,0,48,48
"broad_coherent","gaussian",24,0.2,"low_power",0.01,"coherent_share",1,1,0,1,1,48,48
"broad_coherent","gaussian",24,0.2,"low_power",1.01,"activation",0.2,0.207795319692528,0.0342792693616385,0.152937669616026,0.266980436645573,48,48
"broad_coherent","gaussian",24,0.2,"low_power",1.01,"aggregate",0.68,0.725192323293127,0.308203645658666,0.255310621154996,1.29658176658893,48,48
"broad_coherent","gaussian",24,0.2,"low_power",1.01,"total",0.17,0.181298080823282,0.0770509114146665,0.0638276552887491,0.324145441647233,48,48
"broad_coherent","gaussian",24,0.2,"low_power",1.01,"coherent",0.17,0.185012013212593,0.065601055131136,0.0894346942794244,0.311026358724528,48,48
"broad_coherent","gaussian",24,0.2,"low_power",1.01,"configuration",0,-0.00371393238931119,0.0301224655082601,-0.0543454024181814,0.0547019652107501,48,48
"broad_coherent","gaussian",24,0.2,"low_power",1.01,"coherent_share",1,1.07718383721438,0.224336227166239,0.699256735981884,1.453012317217,48,48
"broad_coherent","gaussian",24,0.2,"low_power",2.01,"activation",0.2,0.207795319692528,0.0342792693616385,0.152937669616026,0.266980436645573,48,48
"broad_coherent","gaussian",24,0.2,"low_power",2.01,"aggregate",0.68,0.725192323293127,0.308203645658666,0.255310621154996,1.29658176658893,48,48
"broad_coherent","gaussian",24,0.2,"low_power",2.01,"total",0.17,0.181298080823282,0.0770509114146665,0.0638276552887491,0.324145441647233,48,48
"broad_coherent","gaussian",24,0.2,"low_power",2.01,"coherent",0.17,0.185129236888028,0.0626225282935042,0.0902873374485446,0.301838701239036,48,48
"broad_coherent","gaussian",24,0.2,"low_power",2.01,"configuration",0,-0.00383115606474652,0.033782835385555,-0.0557925108663366,0.0661270371205078,48,48
"broad_coherent","gaussian",24,0.2,"low_power",2.01,"coherent_share",1,1.08960904526775,0.252007233068395,0.693392463031666,1.52474292708045,48,48
"broad_coherent","gaussian",24,0.2,"low_power",4.01,"activation",0.2,0.207795319692528,0.0342792693616385,0.152937669616026,0.266980436645573,48,48
"broad_coherent","gaussian",24,0.2,"low_power",4.01,"aggregate",0.68,0.725192323293127,0.308203645658666,0.255310621154996,1.29658176658893,48,48
"broad_coherent","gaussian",24,0.2,"low_power",4.01,"total",0.17,0.181298080823282,0.0770509114146665,0.0638276552887491,0.324145441647233,48,48
"broad_coherent","gaussian",24,0.2,"low_power",4.01,"coherent",0.17,0.184874263285793,0.0615012588853959,0.0929421928139901,0.298138384060466,48,48
"broad_coherent","gaussian",24,0.2,"low_power",4.01,"configuration",5.6621374255883e-17,-0.00357618246251166,0.0366360135612252,-0.0607958851613802,0.0774015883449267,48,48
"broad_coherent","gaussian",24,0.2,"low_power",4.01,"coherent_share",1,1.0934452843934,0.276845201538972,0.707569249753216,1.61231418573273,48,48
"broad_coherent","gaussian",24,0.8,"recoverable",0.01,"activation",0.8,0.807795319692528,0.0342792693616385,0.752937669616026,0.866980436645573,48,48
"broad_coherent","gaussian",24,0.8,"recoverable",0.01,"aggregate",10.88,11.0842168450207,0.974383599285478,9.68932498636987,12.8297124014272,48,48
"broad_coherent","gaussian",24,0.8,"recoverable",0.01,"total",2.72,2.77105421125518,0.243595899821369,2.42233124659247,3.20742810035681,48,48
"broad_coherent","gaussian",24,0.8,"recoverable",0.01,"coherent",2.72,2.77105421125518,0.243595899821369,2.42233124659247,3.20742810035681,48,48
"broad_coherent","gaussian",24,0.8,"recoverable",0.01,"configuration",0,0,0,0,0,48,48
"broad_coherent","gaussian",24,0.8,"recoverable",0.01,"coherent_share",1,1,0,1,1,48,48
"broad_coherent","gaussian",24,0.8,"recoverable",1.01,"activation",0.8,0.807795319692528,0.0342792693616385,0.752937669616026,0.866980436645573,48,48
"broad_coherent","gaussian",24,0.8,"recoverable",1.01,"aggregate",10.88,11.0842168450207,0.974383599285478,9.68932498636987,12.8297124014272,48,48
"broad_coherent","gaussian",24,0.8,"recoverable",1.01,"total",2.72,2.77105421125518,0.243595899821369,2.42233124659247,3.20742810035681,48,48
"broad_coherent","gaussian",24,0.8,"recoverable",1.01,"coherent",2.72,2.77476814364449,0.238105363212721,2.39967087382901,3.19192592450886,48,48
"broad_coherent","gaussian",24,0.8,"recoverable",1.01,"configuration",0,-0.00371393238931113,0.0301224655082601,-0.0543454024181814,0.0547019652107504,48,48
"broad_coherent","gaussian",24,0.8,"recoverable",1.01,"coherent_share",1,1.00157860249579,0.0109062256422203,0.980793654675485,1.01869662144203,48,48
"broad_coherent","gaussian",24,0.8,"recoverable",2.01,"activation",0.8,0.807795319692528,0.0342792693616385,0.752937669616026,0.866980436645573,48,48
"broad_coherent","gaussian",24,0.8,"recoverable",2.01,"aggregate",10.88,11.0842168450207,0.974383599285478,9.68932498636987,12.8297124014272,48,48
"broad_coherent","gaussian",24,0.8,"recoverable",2.01,"total",2.72,2.77105421125518,0.243595899821369,2.42233124659247,3.20742810035681,48,48
"broad_coherent","gaussian",24,0.8,"recoverable",2.01,"coherent",2.72,2.77488536731992,0.235797150550099,2.40052571869078,3.18766707397826,48,48
"broad_coherent","gaussian",24,0.8,"recoverable",2.01,"configuration",0,-0.00383115606474667,0.0337828353855549,-0.055792510866337,0.0661270371205072,48,48
"broad_coherent","gaussian",24,0.8,"recoverable",2.01,"coherent_share",1,1.0017062272006,0.0121741779905265,0.977283550997428,1.01937149166072,48,48
"broad_coherent","gaussian",24,0.8,"recoverable",4.01,"activation",0.8,0.807795319692528,0.0342792693616385,0.752937669616026,0.866980436645573,48,48
"broad_coherent","gaussian",24,0.8,"recoverable",4.01,"aggregate",10.88,11.0842168450207,0.974383599285478,9.68932498636987,12.8297124014272,48,48
"broad_coherent","gaussian",24,0.8,"recoverable",4.01,"total",2.72,2.77105421125518,0.243595899821369,2.42233124659247,3.20742810035681,48,48
"broad_coherent","gaussian",24,0.8,"recoverable",4.01,"coherent",2.72,2.77463039371769,0.235378447046719,2.40389370274577,3.18973861095289,48,48
"broad_coherent","gaussian",24,0.8,"recoverable",4.01,"configuration",9.05941988094128e-16,-0.00357618246251128,0.0366360135612252,-0.0607958851613798,0.0774015883449269,48,48
"broad_coherent","gaussian",24,0.8,"recoverable",4.01,"coherent_share",1,1.00163542208353,0.0131652127790661,0.973432101266265,1.02129899789265,48,48
"broad_coherent","heteroskedastic",6,0,"null",0.01,"activation",0,0.0121980206355587,0.0642197132389943,-0.11179846014101,0.117519660738885,48,48
"broad_coherent","heteroskedastic",6,0,"null",0.01,"aggregate",0,0.0757434561253022,0.52360695090374,-0.659965794511825,1.06888348065964,48,48
"broad_coherent","heteroskedastic",6,0,"null",0.01,"total",0,0.0189358640313255,0.130901737725935,-0.164991448627956,0.26722087016491,48,48
"broad_coherent","heteroskedastic",6,0,"null",0.01,"coherent",0,0.0189358640313255,0.130901737725935,-0.164991448627956,0.26722087016491,48,48
"broad_coherent","heteroskedastic",6,0,"null",0.01,"configuration",0,0,0,0,0,48,48
"broad_coherent","heteroskedastic",6,0,"null",0.01,"coherent_share",NA,1,0,1,1,48,48
"broad_coherent","heteroskedastic",6,0,"null",1.01,"activation",0,0.0121980206355587,0.0642197132389943,-0.11179846014101,0.117519660738885,48,48
"broad_coherent","heteroskedastic",6,0,"null",1.01,"aggregate",0,0.0757434561253022,0.52360695090374,-0.659965794511825,1.06888348065964,48,48
"broad_coherent","heteroskedastic",6,0,"null",1.01,"total",0,0.0189358640313255,0.130901737725935,-0.164991448627956,0.26722087016491,48,48
