"dataset_id","scenario","transport_regime","coverage_regime","marginal_claim_supported","replication","method","n","estimate","reported_se","lower","upper","reject","quality_mean","coverage_fraction","failure"
"informative_coverage_cross_fitted-r0179-s873180","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,179,"wild_bootstrap",16,-0.338783401012052,0.508365990670336,-2.12601104497861,1.44844424295451,FALSE,0.717739049290497,0.666666666666667,FALSE
"informative_coverage_cross_fitted-r0180-s873181","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,180,"classical",14,0.720108923640013,0.442950359471177,-0.244997002481498,1.68521484976152,FALSE,0.723140083500254,0.583333333333333,FALSE
"informative_coverage_cross_fitted-r0180-s873181","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,180,"HC3",14,0.720108923640013,0.319910735675273,0.0230833084024464,1.41713453887758,TRUE,0.723140083500254,0.583333333333333,FALSE
"informative_coverage_cross_fitted-r0180-s873181","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,180,"wild_bootstrap",14,0.720108923640013,0.319910735675273,-0.109849956817274,1.5500678040973,FALSE,0.723140083500254,0.583333333333333,FALSE
"informative_coverage_cross_fitted-r0181-s873182","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,181,"classical",16,0.271530279886222,0.307604763475216,-0.388216321955526,0.93127688172797,FALSE,0.710174962567725,0.666666666666667,FALSE
"informative_coverage_cross_fitted-r0181-s873182","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,181,"HC3",16,0.271530279886222,0.286402285486805,-0.342741529415111,0.885802089187555,FALSE,0.710174962567725,0.666666666666667,FALSE
"informative_coverage_cross_fitted-r0181-s873182","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,181,"wild_bootstrap",16,0.271530279886222,0.286402285486805,-0.105295613601462,0.648356173373906,FALSE,0.710174962567725,0.666666666666667,FALSE
"informative_coverage_cross_fitted-r0182-s873183","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,182,"classical",19,0.251976411901797,0.364081091046704,-0.51616754558309,1.02012036938668,FALSE,0.6664064101865,0.791666666666667,FALSE
"informative_coverage_cross_fitted-r0182-s873183","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,182,"HC3",19,0.251976411901797,0.377807503076116,-0.545127743510501,1.04908056731409,FALSE,0.6664064101865,0.791666666666667,FALSE
"informative_coverage_cross_fitted-r0182-s873183","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,182,"wild_bootstrap",19,0.251976411901797,0.377807503076116,-0.396126412974477,0.900079236778071,FALSE,0.6664064101865,0.791666666666667,FALSE
"informative_coverage_cross_fitted-r0183-s873184","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,183,"classical",11,0.72170349350706,0.457437558551792,-0.313092156103798,1.75649914311792,FALSE,0.711268158259099,0.458333333333333,FALSE
"informative_coverage_cross_fitted-r0183-s873184","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,183,"HC3",11,0.72170349350706,0.810207247049921,-1.11111263375793,2.55451962077205,FALSE,0.711268158259099,0.458333333333333,FALSE
"informative_coverage_cross_fitted-r0183-s873184","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,183,"wild_bootstrap",11,0.72170349350706,0.810207247049921,-0.360696969197352,1.80410395621147,FALSE,0.711268158259099,0.458333333333333,FALSE
"informative_coverage_cross_fitted-r0184-s873185","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,184,"classical",20,-0.334398657848403,0.231494020519964,-0.820749547742805,0.151952232046,FALSE,0.728525997907522,0.833333333333333,FALSE
"informative_coverage_cross_fitted-r0184-s873185","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,184,"HC3",20,-0.334398657848403,0.212221417026809,-0.780259310291211,0.111461994594406,FALSE,0.728525997907522,0.833333333333333,FALSE
"informative_coverage_cross_fitted-r0184-s873185","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,184,"wild_bootstrap",20,-0.334398657848403,0.212221417026809,-0.654565403346211,-0.0142319123505939,TRUE,0.728525997907522,0.833333333333333,FALSE
"informative_coverage_cross_fitted-r0185-s873186","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,185,"classical",13,0.586729981800174,0.281593379044235,-0.0330528666562473,1.2065128302566,FALSE,0.700836545956538,0.541666666666667,FALSE
"informative_coverage_cross_fitted-r0185-s873186","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,185,"HC3",13,0.586729981800174,0.199528658286567,0.147570365898445,1.0258895977019,TRUE,0.700836545956538,0.541666666666667,FALSE
"informative_coverage_cross_fitted-r0185-s873186","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,185,"wild_bootstrap",13,0.586729981800174,0.199528658286567,0.164544180570546,1.0089157830298,TRUE,0.700836545956538,0.541666666666667,FALSE
"informative_coverage_cross_fitted-r0186-s873187","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,186,"classical",13,-0.439993360421935,0.181668176287762,-0.83984232049221,-0.0401444003516603,TRUE,0.760258911817552,0.541666666666667,FALSE
"informative_coverage_cross_fitted-r0186-s873187","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,186,"HC3",13,-0.439993360421935,0.235843639869218,-0.959081711876082,0.079094991032211,FALSE,0.760258911817552,0.541666666666667,FALSE
"informative_coverage_cross_fitted-r0186-s873187","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,186,"wild_bootstrap",13,-0.439993360421935,0.235843639869218,-0.850655596260487,-0.0293311245833835,TRUE,0.760258911817552,0.541666666666667,FALSE
