"draw","V_C","V_W","R","eta"
173,460.297975650742,1464.85248971367,0.314228209927619,-0.0235629822580468
174,455.712416292306,1195.84673496287,0.381079282962174,0.0432880907765083
175,401.357653663084,1038.96906111861,0.386303758873204,0.0485125666875384
176,464.353890286277,1825.95181989941,0.254307854799727,-0.0834833373859388
177,498.084793581613,1045.43253460593,0.476438963868066,0.1386477716824
178,464.347788574192,767.200497022415,0.605249593002577,0.267458400816912
179,519.021282889095,2077.42300677542,0.249838998218625,-0.0879521939670403
180,426.108634078985,987.09239410936,0.431680597096948,0.0938894049112824
181,430.204533331101,675.691148808314,0.636688129021423,0.298896936835757
182,419.917887463836,1791.70947782178,0.234367174288958,-0.103424017896708
183,458.598887951371,1660.53584062993,0.276175242190135,-0.0616159499955312
184,423.052685117333,1403.48229182785,0.301430725261495,-0.0363604669241707
185,470.211992428194,1288.55902708234,0.36491304049368,0.027121848308014
186,431.648803131972,1260.05246346518,0.34256415161074,0.00477295942507389
187,439.468060658774,1362.19039572679,0.322618675067296,-0.0151725171183698
188,431.804069248548,1057.85715205868,0.408187502828923,0.0703963106432573
189,429.564632351568,1235.08698149949,0.347801117480847,0.0100099252951816
190,431.910376304101,1555.49640007429,0.277667229756027,-0.0601239624296386
191,413.997785066962,1819.23530449322,0.22756692553429,-0.110224266651375
192,424.922990162282,1119.90124052347,0.379428984259059,0.0416377920733933
193,417.533591073327,2007.47820595963,0.207989102862382,-0.129802089323283
194,439.37502920196,1680.03678235632,0.26152702953665,-0.076264162649016
195,435.001252235192,1968.67395852905,0.220961551480173,-0.116829640705493
196,445.681496103492,1787.35546784887,0.249352467441679,-0.0884387247439871
197,385.781839405723,1384.47533260244,0.278648402265541,-0.0591427899201247
198,513.747205479743,1479.36238606648,0.347276103758295,0.0094849115726296
199,404.39853059682,1906.60494244492,0.212103997841442,-0.125687194344224
200,458.599893757061,1635.15087287783,0.280463351341968,-0.057327840843698
